Id,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor,img,seg
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"[[[139 130 115]
  [136 127 112]
  [112 102  90]
  ...
  [ 27  30  37]
  [ 29  32  39]
  [ 28  31  38]]

 [[135 125 113]
  [147 137 125]
  [127 117 105]
  ...
  [ 22  25  32]
  [ 27  30  37]
  [ 33  36  43]]

 [[135 125 113]
  [141 131 119]
  [136 126 114]
  ...
  [ 22  25  32]
  [ 21  24  31]
  [ 21  24  31]]

 ...

 [[  0   0   0]
  [  1   0   0]
  [  7   6   4]
  ...
  [238 237 243]
  [242 239 248]
  [192 189 200]]

 [[  2   1   0]
  [  5   4   2]
  [ 17  13  12]
  ...
  [236 233 240]
  [238 235 244]
  [236 233 244]]

 [[  9   8   4]
  [ 13  12   8]
  [ 21  17  16]
  ...
  [224 221 228]
  [234 231 240]
  [216 213 224]]]","[[-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 ...
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]]"
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,"[[[146  95  92]
  [131  87  84]
  [156 137 133]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[136  88  78]
  [143 101  85]
  [135  86  72]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[136  78  66]
  [125  78  62]
  [147  88  84]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[188 189 209]
  [157 171 182]
  [113 141 142]
  ...
  [102  82  58]
  [ 88  67  46]
  [ 93  72  51]]

 [[147 152 148]
  [106 129 121]
  [ 99 136 128]
  ...
  [106  84  63]
  [110  89  70]
  [113  95  75]]

 [[155 152 159]
  [145 155 157]
  [123 148 144]
  ...
  [107  86  67]
  [111  93  73]
  [100  85  66]]]","[[-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 ...
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]]"
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,"[[[121 122 108]
  [121 122 106]
  [125 122 107]
  ...
  [132 134 121]
  [116 130 107]
  [ 83  96  70]]

 [[133 120 104]
  [134 118 103]
  [129 120 103]
  ...
  [102  88  61]
  [ 90  43  23]
  [ 83  17   1]]

 [[123 126 109]
  [121 125 108]
  [126 123 108]
  ...
  [ 77  22   1]
  [ 90  25   5]
  [ 91  30   9]]

 ...

 [[109  66  85]
  [123  63  88]
  [120  65  86]
  ...
  [122  62  38]
  [133  79  43]
  [100  58  20]]

 [[106  68  83]
  [107  70  87]
  [102  68  85]
  ...
  [ 68  13   0]
  [118  59  29]
  [130  67  32]]

 [[108  70  85]
  [112  64  86]
  [108  63  86]
  ...
  [ 65  17   5]
  [ 63  20   1]
  [113  57  32]]]","[[-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 ...
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]]"
3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[118 100  98]
  [148 140 137]
  [120 129 100]
  ...
  [ 87  96  69]
  [ 84  93  62]
  [108 102  78]]

 [[113  91 104]
  [140 118 121]
  [138 128 126]
  ...
  [126  94  99]
  [117  94  88]
  [109 109  81]]

 [[100  97  80]
  [131 112 116]
  [125 115 113]
  ...
  [ 61  64  43]
  [ 45  37  26]
  [ 76  73  56]]]","[[-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 ...
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]]"
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,"[[[ 71  69  74]
  [ 73  71  76]
  [ 80  78  83]
  ...
  [101 102 104]
  [100 101 103]
  [ 99 100 102]]

 [[ 71  69  72]
  [ 69  67  72]
  [ 69  67  72]
  ...
  [101 102 104]
  [ 99 100 102]
  [ 98  99 101]]

 [[ 72  70  73]
  [ 73  71  74]
  [ 72  70  73]
  ...
  [101 102 104]
  [100 101 103]
  [100 101 103]]

 ...

 [[ 61  48  31]
  [ 62  49  32]
  [ 58  45  28]
  ...
  [ 71  53  29]
  [ 65  47  23]
  [ 66  48  24]]

 [[ 70  52  38]
  [ 66  53  36]
  [ 56  45  25]
  ...
  [ 82  62  35]
  [ 84  64  39]
  [ 80  60  36]]

 [[ 68  50  36]
  [ 65  52  35]
  [ 57  46  26]
  ...
  [ 76  56  29]
  [ 79  59  34]
  [ 74  54  30]]]","[[-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 ...
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]]"
5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,"[[[133 133 133]
  [133 133 133]
  [134 134 134]
  ...
  [167 165 168]
  [167 165 168]
  [167 165 168]]

 [[133 133 133]
  [134 134 134]
  [134 134 134]
  ...
  [168 166 169]
  [168 166 169]
  [168 166 169]]

 [[135 135 135]
  [135 135 135]
  [136 136 136]
  ...
  [169 167 170]
  [169 167 170]
  [169 167 170]]

 ...

 [[ 17  17  15]
  [ 19  19  17]
  [ 21  21  19]
  ...
  [ 18  19  14]
  [ 18  19  14]
  [ 21  22  17]]

 [[ 22  22  20]
  [ 19  19  17]
  [ 17  17  15]
  ...
  [ 17  18  13]
  [ 18  19  14]
  [ 22  23  18]]

 [[ 25  25  23]
  [ 21  21  19]
  [ 17  17  15]
  ...
  [ 18  19  14]
  [ 20  21  16]
  [ 24  25  20]]]","[[-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 ...
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]]"
6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"[[[194 192 203]
  [195 194 202]
  [197 194 203]
  ...
  [189 193 204]
  [188 192 203]
  [188 192 204]]

 [[194 192 203]
  [195 194 202]
  [196 193 202]
  ...
  [190 192 204]
  [189 191 203]
  [189 191 203]]

 [[195 194 202]
  [195 194 202]
  [196 195 203]
  ...
  [190 192 204]
  [192 192 204]
  [192 192 204]]

 ...

 [[ 89  56  39]
  [114  66  26]
  [ 87  46  26]
  ...
  [130  98  59]
  [114  78  42]
  [155 106  74]]

 [[ 71  45  20]
  [ 93  36  19]
  [ 75  42   9]
  ...
  [114  72  47]
  [107  61  27]
  [122  93  35]]

 [[ 57  26   6]
  [ 78  39  22]
  [ 71  53  15]
  ...
  [ 50  16  17]
  [ 70  25  22]
  [104  60  33]]]","[[-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 ...
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]]"
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"[[[169 160 143]
  [167 158 141]
  [170 161 144]
  ...
  [170 162 151]
  [153 149 138]
  [123 119 108]]

 [[164 158 144]
  [160 152 139]
  [160 152 141]
  ...
  [162 156 142]
  [144 142 129]
  [118 116 101]]

 [[134 129 123]
  [122 117 111]
  [121 116 112]
  ...
  [115 116  98]
  [107 108  90]
  [ 95  98  77]]

 ...

 [[130 138  78]
  [135 143  83]
  [117 125  65]
  ...
  [144 138  86]
  [149 144  88]
  [134 129  71]]

 [[123 131  72]
  [109 117  58]
  [112 118  58]
  ...
  [131 128  75]
  [135 133  76]
  [130 128  69]]

 [[109 114  58]
  [ 77  82  26]
  [117 122  66]
  ...
  [144 141  88]
  [122 120  63]
  [141 139  80]]]","[[-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 ...
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]]"
8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"[[[229 167  56]
  [229 165  55]
  [228 164  54]
  ...
  [102  22   0]
  [100  64  12]
  [242 238 165]]

 [[231 169  58]
  [234 172  61]
  [235 173  62]
  ...
  [ 90  19   0]
  [ 73  41   0]
  [255 255 181]]

 [[232 170  59]
  [233 171  60]
  [234 172  61]
  ...
  [ 52   0   0]
  [154 127  72]
  [252 241 161]]

 ...

 [[211 140  62]
  [194 110  40]
  [228 134  70]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[159  91   6]
  [202 108  34]
  [183  71   8]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[218 156  79]
  [239 151  77]
  [255 171 100]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]]","[[-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 ...
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]]"
9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"[[[ 3  3  3]
  [ 6  6  6]
  [ 9  9  9]
  ...
  [10 10 12]
  [ 9  9 11]
  [ 8  8 10]]

 [[ 3  3  3]
  [ 3  3  3]
  [ 3  3  3]
  ...
  [10 10 12]
  [ 9  9 11]
  [ 9  9 11]]

 [[ 2  2  2]
  [ 2  2  2]
  [ 2  2  2]
  ...
  [ 9  9 11]
  [ 9  9 11]
  [ 8  8 10]]

 ...

 [[30 20 11]
  [30 21 12]
  [34 25 16]
  ...
  [59 42 24]
  [61 45 29]
  [62 46 31]]

 [[33 24 15]
  [35 26 17]
  [40 31 22]
  ...
  [64 45 31]
  [59 39 28]
  [55 37 27]]

 [[36 27 20]
  [39 30 21]
  [44 34 25]
  ...
  [73 52 33]
  [65 46 31]
  [64 45 31]]]","[[-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 ...
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]
 [-1 -1 -1 ... -1 -1 -1]]"
